Year,Region 1 Cfin,Region 2 Cfin,Region 3 Cfin,Region 4 Cfin,Region 5 Cfin
1977,7.92E+05,8.40E+05,2.68E+05,NaN,55708
1978,2.97E+05,1.67E+05,2.05E+05,24320,32133
1979,2.19E+05,1.43E+05,91831,13836,17518
1980,1.85E+05,1.53E+05,1.51E+05,70170,18445
1981,76355,68619,66162,5879.5,31016
1982,6.28E+05,4.84E+05,8.02E+05,89664,50722
1983,4.59E+05,4.74E+05,5.24E+05,13760,21166
1984,5.58E+05,6.84E+05,1.98E+05,1.02E+05,19865
1985,4.15E+05,6.36E+05,2.35E+05,53385,18057
1986,5.96E+05,2.99E+05,1.13E+05,58270,29047
1987,2.90E+05,4.74E+05,1.77E+05,62148,29783
1988,5.83E+05,5.57E+05,2.34E+05,47017,35151
1989,1.09E+06,NaN,NaN,NaN,22282
1990,1.86E+05,NaN,NaN,NaN,10220
1991,1.54E+05,1.92E+05,90980,7370,24154
1992,1.68E+05,NaN,NaN,NaN,27614
1993,1.44E+05,1.55E+05,90655,2976,15897
1994,3.63E+05,3.46E+05,2.10E+05,11847,32773
1995,2.90E+05,3.46E+05,2.53E+05,21031,12812
1996,6.62E+05,1.77E+05,1.55E+05,17696,13981
1997,2.72E+05,4.41E+05,1.47E+05,62929,37747
1998,51657,67677,50540,17117,9226.4
1999,5.12E+05,4.11E+05,3.73E+05,38297,40804
2000,1.34E+05,97245,29380,11055,17675
2001,7.75E+05,8.44E+05,3.92E+05,2.07E+05,41253
2002,4.97E+05,2.40E+05,2.66E+05,86004,24752
2003,1.03E+06,3.26E+05,5.56E+05,3.66E+05,38466
2004,6.97E+05,4.10E+05,3.64E+05,84556,71214
2005,2.49E+05,2.09E+05,1.12E+05,30145,32345
2006,3.55E+05,4.04E+05,74137,49627,32840
2007,7.15E+05,4.59E+05,2.99E+05,32809,74418
2008,6.98E+05,4.54E+05,4.30E+05,1.27E+05,18847
2009,6.05E+05,2.10E+05,2.06E+05,NaN,35844
2010,3.25E+05,1.53E+05,35481,49765,14267
2011,3.17E+05,3.37E+05,54087,3.56E+05,15509
2012,2.04E+05,1.02E+05,44129,7017,9629.8
2013,1.64E+05,2.26E+05,74865,6468,15358
2014,2.01E+05,95490,92014,19227,11768
2015,1.51E+05,1.26E+05,1.04E+05,11711,8956.1
2016,NaN,NaN,NaN,NaN,NaN
2017,NaN,NaN,NaN,NaN,NaN
