Region,Year,ctyp,calfin,pseudo,penilia,tlong,cham,echino,larvaceans,para,gas,acarspp,mlucens,evadnespp,salps,oithspp,cirr,chaeto,hyper,gam,evadnord,calminor,copepoda,clauso,dec,euph,prot,acarlong,euc,pel,poly,podon,fish,bry,fur,calspp,oncaea,cory,ost,tstyl,oithspin,mysids,temspp,tort,paraspp,scyphz,anthz,siph,hydrom,coel,ctenop,euph1,thysin,megan,thysra,thyslo,eupham,euphkr,euphspp,thysgr,nemaspp,stylspp,stylel,nemame,thysspp,shysac,thypsp,nemabo,thecos,spirre,spirhe,spirin,spirtr,spirspp,clispp,crevir,diatri,clicus,clipyr,cavunc,cavoli,cavlon,stysub,spirbu,crespp
1,1977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1978,19914,353.5,21183,38394,27209,17380,0,2901,413.75,423.25,400.25,0,5076.8,19801,507.25,133.5,1000.8,2174.2,0,0,1281,0,1961.5,7718.2,0,0,0,1573.8,0,80,1897.2,0,0,280.25,0,1132.5,635,10689,1745.5,0,0,0,1239.8,343.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1979,35282,297.25,10529,7969.5,79048,35890,643.5,7292.2,487.75,48,9.5,348.75,3974.2,5216.8,699.75,733.25,1163.5,717,0,26598,206.75,0,26,2121.5,788.25,19.25,0,271.25,292,413.25,9.5,564.75,38.5,38.5,0,620,853.5,540,1266.8,348.75,115.25,0,0,1807.8,0,0,174.5,0,0,0,788.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1980,57050,643.25,34832,184.75,28554,12456,100.5,6358.5,4060.8,2288.5,1359.2,2358.2,0,5792.5,425.75,593,5258.2,2025.5,0,20496,16.5,34.75,0,2627.5,0,678,0,493.5,381.75,1170.2,981,459.75,0,0,16.5,49.25,8387.2,2604,756.75,338,267.75,0,0,0,0,0,505,0,2462.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.25,0,0,0,0,857.5,0,0,0,0,0,0,0,0,0,0,0
1,1981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1983,49140,1307.5,3287,0,48738,1907,6516.5,1748.5,513,0,0,0,1369,3030.5,256.5,0,4532.5,415.5,0,0,256.5,256.5,0,1369,0,0,0,513,0,256.5,0,513,0,0,0,415.5,4214.5,58973,0,0,0,0,0,0,0,0,1343.5,0,256.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1984,34806,331.5,96566,0,77117,1.18E+05,0,18885,2572,497,749.5,0,0,0,3313,165.5,3147.5,331.5,0,0,165.5,0,0,11438,0,0,0,828.5,0,1081,0,0,0,0,0,497,3147.5,828.5,1988,584,165.5,0,0,0,0,0,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.5,0,0,0,0,331.5,0,0,0,0,0,0,0,0,0,0,0
1,1985,26540,73.625,19157,828.62,6903.8,1738.9,3042.1,5351,1965.9,1136.8,348.5,0,68,701.38,2072.9,214.38,3171.9,758.12,0,497.75,976.75,27.125,261.38,3011.9,187,38.5,0,399.25,0,658.12,19.25,1062.2,0,1428.2,0,549.88,3044.5,921.38,2689.9,825.25,83.625,0,0,54.125,0,0,886.25,0,125.88,66.125,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1986,20569,66,728.5,0,16030,5987.5,5391.5,2402,1851.5,553,138,0,0,69,1448.5,69,2186,66,0,0,484,69,0,340,0,0,0,276.5,69,138,1382.5,622,0,0,0,619,3174,201.5,622,0,0,414.5,0,0,0,0,0,0,0,4040.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553
