Region,Year,ctyp,calfin,pseudo,penilia,tlong,cham,echino,larvaceans,para,gas,acarspp,mlucens,evadnespp,salps,oithspp,cirr,chaeto,hyper,gam,evadnord,calminor,copepoda,clauso,dec,euph,prot,acarlong,euc,pel,poly,podon,fish,bry,fur,calspp,oncaea,cory,ost,tstyl,oithspin,mysids,temspp,tort,paraspp,scyphz,anthz,siph,hydrom,coel,ctenop,euph1,thysin,megan,thysra,thyslo,eupham,euphkr,euphspp,thysgr,nemaspp,stylspp,stylel,nemame,thysspp,shysac,thypsp,nemabo,thecos,spirre,spirhe,spirin,spirtr,spirspp,clispp,crevir,diatri,clicus,clipyr,cavunc,cavoli,cavlon,stysub,spirbu,crespp
1,1977,663.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1978,616,205.5,205.5,1.88E+05,5904,0,0,205.5,205.5,1072,410.5,0,1437,2286,849,5575.5,6405.5,0,0,0,205.5,0,0,9640.5,0,0,0,5575.5,0,643.5,4311.5,2359,0,0,0,205.5,0,857.5,214.5,0,0,0,0,0,0,0,634.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1979,2030,0,270,1.11E+05,8152.5,0,0,878,473,609,812,203,22510,6547,0,472,2294.5,134.5,337.5,0,0,0,0,6736,0,336,0,403,0,134.5,2639.5,270,0,0,0,0,1012,403,134.5,1279.5,0,0,0,0,0,0,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1980,6556.5,360.5,180.25,1.06E+05,14554,0,595,10706,2030.2,11394,1080.5,0,2577.8,651,119,32.25,9223.8,7771.8,0,32.25,2021.5,0,238,23194,0,385,0,9192,0,32.25,97,183.5,0,2248.5,0,32.25,2542,15969,2827,721,0,0,0,836.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3088,0,0,0,0,0,0,0,0,0,0,7756.2
1,1981,3213.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1982,6447.3,40.667,0,51443,372.67,0,0,5345.3,8320,2959.3,196.67,0,7801.3,21549,1499.7,0,1755,12205,81,0,1750.7,1065.7,283.67,3538.7,93.333,0,0,729.33,0,0,0,225,0,2028.7,0,1962,2204.7,0,1053.7,0,0,0,0,1408,0,0,1135.3,0,0,0,93.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1434.7,0,0,0,0,1431,0,0,0,0,0,0,0,0,0,0,0
1,1983,4353.4,255.6,1149.8,3.03E+05,3346,255.6,7109.6,18465,255.6,5604,1322.8,0,14913,46471,255.6,4411.6,6664,3912.4,638.8,0,198.2,0,99.2,8364,255.6,1784.4,0,38011,1487,1071,766.6,1415.6,0,127.8,0,198.2,1917.2,524.4,313.4,383.4,428.4,0,0,0,0,0,1195.2,0,0,0,0,0,0,0,0,0,255.6,0,0,0,0,0,0,0,0,0,0,127.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1984,17295,163.44,31.111,4.83E+05,12938,246.56,2554.4,10677,456.89,861.67,357.67,93.333,2091.8,12317,1209.2,478.78,6348.4,1886.8,87.222,1290.8,251.56,545.22,145.44,9714.1,283.11,411.22,0,7495.7,66.778,474.22,777.44,0,0,842.22,0,1074.2,2824.3,8054.1,1411.6,5174.6,1132.9,0,0,493.22,0,0,745.33,0,506.44,0,283.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,0,0,0,0,145.89,0,0,0,0,0,0,0,0,0,0,0
1,1985,119.8,110,60,12794,8852.4,18.2,98.6,3895,359.4,4326.2,269.8,50,1660.8,2711,2985.4,864.4,4642.4,1599.6,0,25.8,1415.4,25.8,318.6,6408.8,91,70,0,4887.4,376.2,440,50,713,0,490.2,0,3905.6,3368.4,18457,276.6,0,50,0,0,470.4,0,0,271.6,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2769.6,60,0,0,0,62.2,0,0,0,0,0,0,0,0,0,0,169.8
1,1986,2189.9,176.6,59.1,2.04E+05,2797.7,0,391.8,7947.2,532.9,2914.6,2824.7,0,6149.6,21200,2683.7,578,6546.1,7913.2,194,0,1159.3,0,29.6,10679,646.7,0,0,3862,28.7,588.2,1472.2,380.3,0,6014.7,0,2608.9,5131.4,9302.3,3200,235,31.3,8022.3,0,5406.5,0,0,5926.8,0,2339.1,0,125.3,0,0,0,0,0,521.4,0,0,0,0,0,0,0,0,0,0,717.7,0,0,0,0,289.4,0,0,0,0,0,0,0,0,0,0,51.4
