Region,Year,ctyp,calfin,pseudo,penilia,tlong,cham,echino,larvaceans,para,gas,acarspp,mlucens,evadnespp,salps,oithspp,cirr,chaeto,hyper,gam,evadnord,calminor,copepoda,clauso,dec,euph,prot,acarlong,euc,pel,poly,podon,fish,bry,fur,calspp,oncaea,cory,ost,tstyl,oithspin,mysids,temspp,tort,paraspp,scyphz,anthz,siph,hydrom,coel,ctenop,euph1,thysin,megan,thysra,thyslo,eupham,euphkr,euphspp,thysgr,nemaspp,stylspp,stylel,nemame,thysspp,shysac,thypsp,nemabo,thecos,spirre,spirhe,spirin,spirtr,spirspp,clispp,crevir,diatri,clicus,clipyr,cavunc,cavoli,cavlon,stysub,spirbu,crespp
1,1977,696.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1978,37454,127.5,68592,0,26266,7293,0,0,298,42.5,0,42.5,0,0,85,0,332,0,0,0,0,0,0,127.5,0,0,0,0,562,1669,0,0,0,0,0,0,0,0,0,0,0,0,127.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1979,1.48E+05,148,16628,0,2219.5,13219,0,0,734.5,0,1327,0,0,0,0,0,0,148,0,0,0,0,0,296.5,0,0,0,0,0,0,0,296.5,0,0,0,0,0,0,0,72.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1980,60052,47.5,25457,145.5,5944,4619,0,3905,1211,0,0,47.5,0,145.5,145.5,0,193,0,145.5,2731.5,145.5,0,436.5,193,145.5,0,0,291,145.5,47.5,0,0,0,291,0,291,0,2327.5,0,964.5,189.5,0,0,145.5,0,0,0,0,0,0,145.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1981,33797,1276,66351,0,60101,19155,0,343.6,289.6,299.4,1610.2,252.6,235,0,896.2,287.2,1376.4,72.4,0,213.2,0,24.2,48.2,642.6,24.2,0,0,0,319.4,303.4,0,0,0,0,0,0,1561.8,2165.2,0,472.2,0,0,106.8,1100.4,0,0,0,0,0,0,24.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0
1,1982,37618,0,1.10E+05,0,3252.5,53152,0,0,0,0,10030,0,0,0,364.5,0,682,0,0,159,0,0,0,317.5,0,0,0,159,0,0,0,0,0,2542,0,182.5,0,794.5,0,0,182.5,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1983,1.09E+05,1052.5,84760,0,3085,12980,0,0,726,1210,1440,0,0,0,1052.5,121,230,0,0,0,0,0,0,242,230,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210,0,0,0,0,0,0,0,0,0,0,0
1,1984,49162,164,95440,0,1476.5,17766,0,0,627,984,1359.5,313.5,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820,0,0,0,0,0,0,0,0,0,0,0
1,1985,184.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1986,60769,1633,1733.2,134.75,2419.8,1966.2,0,319.75,5769.2,0,117.25,0,59.75,0,185.25,0,8753.5,50.5,0,0,1196.5,0,178.25,438.75,0,0,0,397.75,2238,393.25,0,162,0,0,0,0,1654.2,3568.5,67.25,67.25,411,0,0,0,0,0,33.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
