Year,Region 1 Cfin,Region 2 Cfin,Region 3 Cfin,Region 4 Cfin,Region 5 Cfin
1977,1.28E+06,2.13E+06,9.67E+05,NaN,2.44E+05
1978,6.54E+05,8.09E+05,1.12E+06,1.56E+05,65574
1979,7.69E+05,5.04E+05,3.31E+05,26600,1.46E+05
1980,1.30E+06,1.41E+06,1.35E+06,6.73E+05,1.69E+05
1981,8.62E+05,NaN,5.55E+05,NaN,2.02E+05
1982,2.07E+06,NaN,1.90E+06,3.44E+05,13158
1983,21454,NaN,0,NaN,1.52E+05
1984,69726,NaN,3.62E+05,NaN,1.23E+05
1985,3.41E+05,4.97E+05,5.01E+05,1.93E+05,1.01E+05
1986,8.85E+05,5.80E+05,5.62E+05,NaN,98081
1987,5.15E+05,7.26E+05,1.97E+05,1.68E+05,2.44E+05
1988,NaN,NaN,NaN,NaN,4.09E+05
1989,NaN,NaN,NaN,NaN,NaN
1990,NaN,NaN,NaN,NaN,NaN
1991,7.28E+05,6.65E+05,2.06E+05,39644,1.41E+05
1992,4.15E+05,8.10E+05,5.87E+05,81758,1.48E+05
1993,NaN,NaN,NaN,NaN,8881.9
1994,NaN,NaN,NaN,NaN,NaN
1995,3.26E+05,7.42E+05,3.07E+05,9869,2.16E+05
1996,NaN,NaN,NaN,NaN,91705
1997,9.62E+05,1.15E+06,1.37E+06,NaN,62183
1998,84917,1.69E+05,3.75E+05,23387,17061
1999,7.18E+05,3.53E+05,5.20E+05,NaN,94422
2000,5.39E+05,4.56E+05,3.78E+05,2.84E+05,38267
2001,1.22E+06,9.83E+05,4.66E+05,NaN,1.06E+05
2002,7.70E+05,2.60E+05,2.39E+05,1.59E+05,73714
2003,8.88E+05,1.15E+06,2.74E+05,5124,1.53E+05
2004,6.59E+05,9.09E+05,8.60E+05,1.27E+05,6.74E+05
2005,2.26E+05,7.20E+05,1.78E+05,90390,2.17E+05
2006,3.23E+05,6.05E+05,1.41E+05,47180,75213
2007,7.45E+05,4.35E+05,NaN,NaN,79772
2008,4.50E+05,6.14E+05,6.17E+05,4.20E+05,61482
2009,1.01E+06,NaN,NaN,NaN,3.55E+05
2010,4.04E+05,3.74E+05,4.19E+05,NaN,42672
2011,NaN,NaN,NaN,NaN,NaN
2012,4.81E+05,2.93E+05,1.90E+05,NaN,32319
2013,8.09E+05,2.98E+05,2.25E+05,2.18E+05,47749
2014,NaN,NaN,NaN,NaN,NaN
2015,NaN,NaN,NaN,NaN,885.5
2016,NaN,NaN,NaN,NaN,NaN
2017,NaN,NaN,NaN,NaN,NaN
