Year,Region 1 Cfin,Region 2 Cfin,Region 3 Cfin,Region 4 Cfin,Region 5 Cfin
1977,68670,NaN,47205,NaN,61622
1978,69338,42876,33642,NaN,27076
1979,15956,NaN,NaN,NaN,9389
1980,34817,25403,21780,10278,81787
1981,68571,32502,19245,7838.7,80958
1982,21841,24780,8942,NaN,19823
1983,2.87E+05,2.91E+05,65810,61115,38897
1984,3.98E+05,3.52E+05,1.43E+05,45391,37503
1985,3.66E+05,NaN,NaN,NaN,76475
1986,1.33E+05,2.47E+05,61312,21225,7812.3
1987,NaN,NaN,NaN,NaN,13861
1988,NaN,NaN,NaN,NaN,1.58E+05
1989,3.41E+05,NaN,NaN,NaN,65686
1990,4.73E+05,NaN,NaN,NaN,51475
1991,59434,NaN,NaN,NaN,4440.7
1992,59975,NaN,6817,NaN,22914
1993,89571,1.42E+05,3.77E+05,5330,8804.6
1994,64581,29700,11265,120,14489
1995,1.58E+05,1.80E+05,42769,2374,58800
1996,NaN,NaN,NaN,NaN,85890
1997,2.56E+05,13769,14938,NaN,72313
1998,97739,38487,NaN,NaN,1.20E+05
1999,30900,26340,12561,NaN,43464
2000,NaN,NaN,NaN,NaN,28999
2001,NaN,NaN,NaN,NaN,20043
2002,3.94E+05,3.83E+05,1.50E+05,49625,51717
2003,2.96E+05,3.91E+05,72800,NaN,63629
2004,6.86E+05,NaN,NaN,NaN,3.60E+05
2005,4.30E+05,2.55E+05,1.15E+05,66356,64306
2006,3.53E+05,83703,52598,52202,1.29E+05
2007,3.40E+05,1.39E+05,50781,84791,2.24E+05
2008,3.56E+05,3.33E+05,82267,28817,70380
2009,1.59E+05,2.11E+05,95672,85665,24627
2010,2.16E+05,NaN,28430,NaN,51275
2011,69778,59311,19813,12792,38864
2012,1.31E+05,64319,3942,33584,18323
2013,30517,37793,16390,NaN,30707
2014,75376,13710,NaN,20780,99413
2015,NaN,NaN,NaN,NaN,NaN
2016,NaN,NaN,NaN,NaN,NaN
2017,NaN,NaN,NaN,NaN,NaN
